iter	MultiClass
0	1.620953445
1	1.476372862
2	1.384311698
3	1.289619544
4	1.215497633
5	1.153183507
6	1.093093615
7	1.031191202
8	0.987006121
9	0.9469024947
10	0.9130511542
11	0.8835901587
12	0.8583766306
13	0.8353677508
14	0.8135942307
15	0.7970324045
16	0.7788002079
17	0.7578965515
18	0.7426826387
19	0.725490389
20	0.71296006
21	0.6984073276
22	0.6847695352
23	0.6725189623
24	0.66006689
25	0.6475035941
26	0.6399628769
27	0.6276095811
28	0.6179709392
29	0.607898901
30	0.5983115632
31	0.5898683213
32	0.5777811744
33	0.5679138153
34	0.5616278536
35	0.5524229821
36	0.546249038
37	0.5380545301
38	0.5309234945
39	0.5243774471
40	0.515363152
41	0.5067307526
42	0.4990471856
43	0.4909944619
44	0.4831728253
45	0.4751100735
46	0.4659474195
47	0.4584902153
48	0.4506878193
49	0.4433106386
50	0.4377028046
51	0.4339872246
52	0.4262084488
53	0.4186903862
54	0.4120856325
55	0.4082925686
56	0.4027564828
57	0.3981144491
58	0.3904375644
59	0.3852786913
60	0.3803592004
61	0.3767060731
62	0.3740200187
63	0.3686240995
64	0.3643963591
65	0.3589865406
66	0.3528228968
67	0.3488833741
68	0.3455377691
69	0.3416441573
70	0.3359073348
71	0.3306340601
72	0.3276659623
73	0.3235666887
74	0.3191961106
75	0.3135381255
76	0.3079801657
77	0.3031810503
78	0.3004154324
79	0.2958716315
80	0.2935955024
81	0.2909371896
82	0.2869718669
83	0.2828420647
84	0.279759268
85	0.2765563266
86	0.2720593802
87	0.2685212015
88	0.2658351112
89	0.2631831338
90	0.260056793
91	0.2567384031
92	0.2529647316
93	0.2502714282
94	0.2489483159
95	0.2461395607
96	0.2431657865
97	0.239854186
98	0.2376346127
99	0.2353963954
