iter	Passed	Remaining
0	75	7432
1	144	7086
2	214	6928
3	289	6956
4	366	6967
5	442	6925
6	515	6844
7	589	6778
8	662	6695
9	738	6646
10	809	6548
11	884	6489
12	966	6469
13	1046	6425
14	1120	6346
15	1194	6271
16	1267	6186
17	1336	6087
18	1407	5999
19	1483	5934
20	1560	5869
21	1632	5789
22	1704	5707
23	1781	5642
24	1850	5550
25	1918	5460
26	1995	5394
27	2068	5318
28	2142	5245
29	2217	5174
30	2286	5089
31	2360	5016
32	2427	4927
33	2500	4853
34	2573	4778
35	2647	4706
36	2715	4623
37	2785	4544
38	2859	4472
39	2932	4398
40	3003	4322
41	3082	4256
42	3155	4182
43	3229	4110
44	3303	4037
45	3379	3966
46	3452	3892
47	3525	3818
48	3597	3744
49	3673	3673
50	3744	3597
51	3822	3528
52	3893	3452
53	3963	3376
54	4041	3306
55	4118	3236
56	4190	3161
57	4261	3085
58	4333	3011
59	4406	2937
60	4478	2863
61	4552	2790
62	4626	2717
63	4704	2646
64	4775	2571
65	4849	2498
66	4923	2424
67	4988	2347
68	5058	2272
69	5134	2200
70	5208	2127
71	5282	2054
72	5351	1979
73	5423	1905
74	5498	1832
75	5573	1759
76	5646	1686
77	5720	1613
78	5795	1540
79	5866	1466
80	5934	1392
81	6008	1318
82	6079	1245
83	6152	1171
84	6235	1100
85	6310	1027
86	6383	953
87	6455	880
88	6528	806
89	6600	733
90	6674	660
91	6745	586
92	6818	513
93	6887	439
94	6921	364
95	6995	291
96	7068	218
97	7142	145
98	7217	72
99	7293	0
